datetime,MS_pres,MS_temp,R_av,i_av,Therm_temp
2022/3/10 20:15:57,6.07,1137.62,281.282,0.0009,-65.52
2022/3/10 20:18:33,6.07,1139.59,277.985,0.0009,-65.89
2022/3/10 20:21:9,6.07,1142.27,277.238,0.0009,-65.94
2022/3/10 20:23:45,6.07,1144.01,291.498,0.0009,-65.38
2022/3/10 20:26:20,6.07,1145.82,293.172,0.0009,-65.15
2022/3/10 20:28:56,6.08,1147.77,293.426,0.0008,-65.15
2022/3/10 20:31:32,6.08,1149.60,301.005,0.0008,-65.61
2022/3/10 20:34:8,6.09,1151.26,308.272,0.0008,-65.28
2022/3/10 20:36:44,6.09,1153.43,303.543,0.0008,-65.38
2022/3/10 20:39:20,6.10,1154.74,306.854,0.0008,-64.97
2022/3/10 20:41:55,6.10,1156.37,320.080,0.0008,-66.04
2022/3/10 20:44:31,6.11,1159.01,324.389,0.0008,-65.01
2022/3/10 20:47:7,6.11,1161.31,323.957,0.0008,-64.92
2022/3/10 20:49:43,6.12,1163.52,329.081,0.0008,-64.66
2022/3/10 20:52:19,6.12,1165.22,330.586,0.0008,-64.57
2022/3/10 20:54:55,6.12,1166.69,345.630,0.0008,-64.66
2022/3/10 20:57:30,6.12,1168.62,341.593,0.0008,-65.10
2022/3/10 21:0:6,6.13,1171.11,343.711,0.0008,-64.79
2022/3/10 21:2:42,6.12,1172.70,339.474,0.0008,-64.88
2022/3/10 21:5:18,6.12,1174.72,337.440,0.0008,-65.15
2022/3/10 21:7:54,6.12,1177.12,350.726,0.0008,-64.70
2022/3/10 21:10:29,6.12,1179.20,356.165,0.0008,-64.74
2022/3/10 21:13:5,6.12,1181.61,358.661,0.0008,-65.28
2022/3/10 21:15:41,6.11,1183.35,368.321,0.0008,-64.70
2022/3/10 21:18:17,6.11,1184.44,383.971,0.0008,-64.70
2022/3/10 21:20:53,6.10,1187.09,383.670,0.0008,-64.57
2022/3/10 21:23:29,6.10,1189.47,385.961,0.0008,-64.48
2022/3/10 21:26:5,6.09,1190.96,391.460,0.0008,-65.06
2022/3/10 21:28:41,6.08,1192.57,405.205,0.0008,-65.06
2022/3/10 21:31:17,6.08,1194.23,410.596,0.0008,-64.57
2022/3/10 21:33:52,6.08,1196.53,416.133,0.0008,-64.79
2022/3/10 21:36:28,6.07,1199.46,414.864,0.0008,-64.44
2022/3/10 21:39:4,6.06,1201.05,405.735,0.0008,-64.66
2022/3/10 21:41:40,6.06,1201.66,413.429,0.0008,-64.44
2022/3/10 21:44:16,6.05,1203.57,403.719,0.0008,-65.06
2022/3/10 21:46:52,6.05,1205.79,402.559,0.0008,-64.40
2022/3/10 21:49:27,6.04,1207.54,410.909,0.0008,-64.53
2022/3/10 21:52:3,6.04,1209.02,411.885,0.0007,-64.14
2022/3/10 21:54:39,6.03,1210.56,408.908,0.0007,-64.70
2022/3/10 21:57:15,6.03,1212.83,407.910,0.0007,-65.06
2022/3/10 21:59:50,6.02,1215.52,406.789,0.0007,-64.48
2022/3/10 22:2:26,6.02,1216.47,406.531,0.0007,-64.40
2022/3/10 22:5:2,6.02,1217.39,404.236,0.0007,-64.06
