time,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5
4039,89.1875,52.875,35.125,24.8125,18.0625,7.8125
4048,89.1875,52.875,35.1875,24.8125,18.0625,7.875
4058,89.1875,52.9375,35.1875,24.8125,18.0625,7.875
4067,89.1875,52.9375,35.1875,24.8125,18.0625,7.875
4077,89.25,52.9375,35.1875,24.8125,18.0625,7.875
4087,89.25,53.0,35.1875,24.875,18.0625,7.875
4096,89.25,53.0,35.1875,24.875,18.0625,7.875
4106,89.25,53.0,35.25,24.875,18.0625,7.875
4115,89.3125,53.0,35.25,24.875,18.0625,7.9375
4125,89.3125,53.0,35.25,24.875,18.0625,7.9375
4134,89.3125,53.0,35.25,24.875,18.0625,7.9375
4144,89.25,53.0625,35.25,24.875,18.0625,7.9375
4153,89.25,53.0625,35.3125,24.875,18.0625,7.9375
4163,89.1875,53.0625,35.3125,24.9375,18.0625,7.9375
4172,89.0625,53.0625,35.3125,24.9375,18.0625,7.9375
4182,89.0,53.125,35.3125,24.9375,18.0625,8.0
4192,89.0,53.125,35.3125,24.9375,18.0625,8.0
4201,88.9375,53.125,35.3125,24.9375,18.0625,8.0
4211,88.9375,53.0625,35.3125,24.9375,18.125,8.0
4220,88.875,53.0625,35.375,24.9375,18.0625,8.0
4230,88.75,53.0625,35.3125,24.9375,18.125,8.0
4239,88.75,53.0625,35.375,24.9375,18.125,8.0
4249,88.6875,53.0625,35.375,24.9375,18.125,8.0625
4258,88.6875,53.0625,35.375,24.9375,18.125,8.0625
4268,88.75,53.0625,35.375,25.0,18.125,8.0625
4277,88.875,53.0625,35.375,25.0,18.125,8.0625
4287,88.9375,53.0625,35.375,25.0,18.125,8.0625
4297,89.0625,53.125,35.4375,25.0,18.125,8.125
4306,89.0625,53.125,35.4375,25.0,18.125,8.125
4316,89.125,53.1875,35.4375,25.0,18.125,8.125
4325,89.1875,53.25,35.5,25.0,18.125,8.125
4335,89.3125,53.3125,35.5,25.0,18.125,8.125
4344,89.5,53.375,35.5625,25.0,18.125,8.125
4354,89.625,53.4375,35.5625,25.0,18.125,8.1875
4363,89.75,53.5,35.625,25.0625,18.125,8.1875
4373,89.875,53.5625,35.625,25.0625,18.1875,8.1875
4382,90.0,53.625,35.6875,25.0625,18.1875,8.1875
4392,90.125,53.6875,35.6875,25.0625,18.1875,8.1875
4401,90.1875,53.75,35.6875,25.0625,18.1875,8.1875
4411,90.3125,53.8125,35.75,25.125,18.1875,8.25
4421,90.375,53.875,35.75,25.125,18.1875,8.25
4430,90.4375,53.9375,35.8125,25.125,18.1875,8.25
4440,90.4375,53.9375,35.8125,25.125,18.1875,8.25
